Food Produced,Food Eaten,Current Food,run_id
0.0,60.0,340,1
0.0,60.0,280,1
0.0,60.0,220,1
0.0,60.0,160,1
0.0,60.0,100,1
0.0,60.0,40,1
0.0,60.0,0,1
0.0,33.75,0,1
0.0,21.6,0,1
0.0,12.15,0,1
0.0,7.35,0,1
0.0,5.4,0,1
0.0,3.75,0,1
0.0,2.4000000000000004,0,1
0.0,1.35,0,1
0.0,0.6000000000000001,0,1
0.0,0.15,0,1
0.0,60.0,340,2
0.0,60.0,280,2
48.0,60.0,268,2
24.0,60.0,232,2
28.0,60.0,200,2
16.0,60.0,156,2
20.0,60.0,116,2
20.0,60.0,76,2
10.35,25.35,61,2
5.350000000000001,25.35,41,2
15.35,25.35,31,2
15.35,25.35,21,2
15.0,25.35,15,2
15.0,25.35,15,2
15.0,25.35,15,2
15.0,25.35,15,2
15.0,25.35,15,2
15.0,25.35,15,2
10.0,15.0,10,2
10.0,15.0,10,2
10.0,15.0,10,2
10.0,15.0,10,2
10.0,15.0,10,2
6.4,5.4,11,2
10.35,7.35,14,2
10.0,15.0,10,2
10.0,15.0,10,2
10.0,15.0,10,2
10.0,15.0,10,2
10.0,15.0,10,2
10.0,15.0,10,2
10.0,15.0,10,2
10.0,15.0,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
10.0,12.15,10,2
9.6,9.6,10,2
9.6,9.6,10,2
9.6,9.6,10,2
9.6,9.6,10,2
9.6,9.6,10,2
9.6,9.6,10,2
9.6,9.6,10,2
9.6,9.6,10,2
9.6,9.6,10,2
9.6,9.6,10,2
9.6,9.6,10,2
9.6,9.6,10,2
