population,babies,run_id
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
15,0,1
12,0,1
9,0,1
7,0,1
6,0,1
5,0,1
4,0,1
3,0,1
2,0,1
1,0,1
0,0,1
20,0,2
20,0,2
20,0,2
20,0,2
20,0,2
20,0,2
20,0,2
13,0,2
13,1,2
13,2,2
13,9,2
13,2,2
13,5,2
13,4,2
13,3,2
13,2,2
13,4,2
10,3,2
10,3,2
10,2,2
10,3,2
10,0,2
6,4,2
7,1,2
10,3,2
10,2,2
10,3,2
10,3,2
10,3,2
10,2,2
10,5,2
10,5,2
9,8,2
9,2,2
9,1,2
9,0,2
9,1,2
9,0,2
9,4,2
9,1,2
9,1,2
9,3,2
9,0,2
9,2,2
9,2,2
9,3,2
9,3,2
9,0,2
9,4,2
9,2,2
9,2,2
9,2,2
9,4,2
9,3,2
9,3,2
9,1,2
9,2,2
9,1,2
9,2,2
8,2,2
8,1,2
8,1,2
8,2,2
8,0,2
8,2,2
8,1,2
8,1,2
8,2,2
8,3,2
8,3,2
8,3,2
5,3,2
7,2,2
9,2,2
9,4,2
7,5,2
9,2,2
9,1,2
9,0,2
9,1,2
9,1,2
9,2,2
9,2,2
9,1,2
7,3,2
10,3,2
10,5,2
10,1,2
10,1,2
10,3,2
10,4,2
10,1,2
10,5,2
10,6,2
9,3,2
9,2,2
9,4,2
9,2,2
9,2,2
9,1,2
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
20,1,3
23,3,3
27,4,3
27,6,3
27,3,3
27,6,3
27,5,3
27,4,3
27,5,3
27,3,3
27,3,3
27,4,3
27,4,3
27,4,3
27,3,3
27,4,3
27,6,3
27,6,3
27,4,3
27,6,3
27,7,3
27,4,3
27,9,3
27,7,3
27,9,3
27,5,3
27,6,3
27,6,3
27,5,3
27,5,3
27,6,3
27,4,3
27,5,3
27,3,3
27,6,3
27,6,3
27,5,3
27,7,3
27,6,3
27,8,3
27,6,3
27,3,3
27,4,3
27,7,3
27,6,3
27,7,3
27,9,3
27,3,3
27,7,3
27,5,3
27,8,3
27,6,3
27,5,3
27,9,3
27,8,3
27,11,3
27,8,3
27,3,3
27,5,3
27,5,3
27,7,3
35,8,3
40,5,3
49,9,3
58,9,3
75,17,3
95,20,3
121,26,3
126,5,3
132,6,3
142,10,3
150,8,3
150,7,3
150,7,3
150,8,3
150,8,3
150,3,3
150,7,3
150,7,3
150,4,3
150,1,3
150,7,3
150,5,3
150,7,3
150,7,3
150,5,3
150,7,3
20,0,4
20,0,4
20,8,4
20,3,4
20,6,4
20,2,4
15,5,4
12,2,4
14,2,4
17,3,4
17,2,4
22,5,4
30,8,4
30,6,4
40,10,4
35,13,4
35,5,4
51,16,4
71,20,4
71,29,4
71,29,4
102,31,4
111,9,4
121,10,4
121,7,4
121,5,4
121,41,4
127,6,4
127,17,4
131,4,4
131,6,4
131,7,4
138,7,4
138,10,4
138,6,4
138,2,4
138,8,4
97,5,4
97,23,4
97,27,4
97,22,4
97,21,4
97,19,4
97,25,4
97,29,4
97,23,4
97,23,4
97,32,4
97,29,4
97,21,4
97,22,4
130,33,4
139,9,4
139,12,4
139,5,4
139,9,4
139,4,4
139,10,4
147,8,4
146,6,4
146,10,4
146,3,4
146,10,4
146,12,4
146,10,4
146,6,4
146,9,4
146,5,4
146,7,4
146,4,4
146,11,4
146,6,4
146,7,4
146,5,4
146,9,4
146,7,4
146,11,4
146,6,4
146,10,4
146,9,4
137,10,4
137,7,4
137,7,4
137,9,4
137,2,4
137,10,4
137,4,4
85,7,4
85,26,4
80,22,4
60,21,4
59,18,4
59,18,4
59,16,4
59,20,4
59,15,4
59,12,4
59,21,4
59,16,4
59,20,4
20,0,5
20,0,5
20,0,5
20,0,5
20,0,5
25,5,5
25,7,5
15,1,5
15,4,5
15,2,5
15,3,5
15,3,5
15,2,5
21,6,5
29,8,5
41,12,5
51,10,5
66,15,5
82,16,5
100,18,5
130,30,5
136,6,5
144,8,5
140,8,5
140,7,5
140,6,5
140,14,5
140,9,5
117,8,5
117,6,5
117,10,5
117,6,5
117,11,5
117,6,5
117,9,5
117,5,5
117,9,5
117,7,5
117,11,5
117,11,5
117,10,5
117,6,5
117,8,5
117,10,5
117,9,5
117,9,5
117,15,5
117,6,5
117,7,5
117,8,5
117,10,5
117,8,5
117,5,5
117,9,5
117,10,5
92,5,5
92,33,5
92,28,5
92,25,5
58,34,5
58,15,5
58,16,5
58,17,5
58,11,5
39,18,5
39,12,5
39,16,5
39,20,5
39,11,5
39,12,5
35,11,5
35,18,5
35,11,5
35,13,5
35,8,5
35,12,5
35,10,5
35,10,5
32,12,5
32,11,5
32,8,5
32,11,5
32,12,5
32,13,5
32,9,5
32,14,5
32,11,5
32,12,5
32,13,5
32,11,5
32,12,5
32,9,5
32,10,5
32,15,5
32,15,5
32,14,5
32,17,5
32,16,5
32,15,5
32,12,5
18,0,6
18,0,6
18,0,6
22,4,6
33,11,6
33,19,6
33,10,6
33,14,6
33,6,6
22,14,6
22,5,6
22,2,6
25,3,6
33,8,6
34,9,6
34,12,6
34,6,6
34,7,6
21,6,6
25,4,6
29,4,6
29,8,6
29,6,6
29,6,6
29,2,6
29,6,6
29,0,6
29,4,6
29,3,6
29,3,6
29,5,6
29,3,6
29,5,6
29,6,6
29,3,6
29,3,6
29,4,6
29,5,6
29,5,6
29,6,6
29,10,6
29,6,6
29,5,6
29,2,6
22,5,6
25,3,6
31,6,6
31,6,6
31,7,6
31,6,6
31,7,6
31,9,6
31,5,6
31,5,6
31,9,6
31,8,6
31,2,6
31,4,6
31,11,6
31,10,6
31,3,6
31,4,6
31,6,6
31,5,6
31,4,6
31,6,6
31,4,6
31,2,6
31,7,6
31,8,6
31,2,6
31,6,6
31,4,6
31,4,6
32,1,6
36,4,6
45,9,6
51,9,6
62,11,6
73,11,6
91,18,6
113,22,6
117,4,6
125,8,6
131,6,6
137,6,6
144,7,6
149,5,6
149,5,6
149,2,6
149,5,6
149,5,6
149,7,6
149,8,6
149,8,6
115,2,6
115,2,6
115,6,6
115,2,6
115,3,6
20,0,7
20,0,7
20,0,7
14,0,7
14,3,7
14,2,7
14,1,7
15,1,7
15,0,7
15,0,7
15,0,7
17,2,7
16,1,7
16,1,7
16,2,7
16,1,7
16,0,7
16,0,7
16,1,7
16,2,7
16,0,7
16,0,7
12,3,7
14,2,7
14,2,7
14,2,7
11,3,7
11,0,7
10,1,7
10,1,7
10,1,7
10,1,7
10,2,7
10,2,7
10,1,7
10,1,7
10,3,7
10,1,7
9,0,7
9,2,7
9,1,7
9,3,7
9,0,7
9,0,7
9,1,7
9,0,7
9,1,7
9,0,7
9,1,7
9,3,7
9,2,7
9,2,7
9,0,7
9,1,7
9,2,7
9,2,7
9,0,7
6,0,7
8,2,7
9,1,7
9,1,7
9,0,7
9,0,7
9,0,7
10,1,7
10,3,7
10,3,7
10,3,7
10,1,7
10,1,7
10,1,7
10,1,7
10,1,7
10,2,7
10,0,7
10,2,7
10,2,7
10,0,7
10,0,7
10,1,7
11,1,7
15,4,7
19,4,7
19,6,7
19,1,7
19,6,7
19,2,7
19,4,7
22,3,7
28,6,7
32,4,7
42,10,7
42,7,7
56,14,7
68,12,7
81,13,7
92,11,7
92,17,7
92,9,7
92,10,7
20,0,8
14,0,8
14,0,8
14,7,8
14,4,8
14,6,8
14,0,8
14,2,8
14,2,8
14,2,8
14,0,8
13,1,8
13,1,8
13,0,8
16,3,8
17,1,8
17,0,8
20,3,8
20,4,8
20,5,8
20,2,8
20,4,8
20,4,8
20,2,8
20,7,8
20,6,8
20,4,8
20,7,8
20,6,8
20,3,8
20,4,8
20,5,8
24,4,8
30,6,8
39,9,8
46,7,8
49,3,8
49,7,8
49,11,8
49,9,8
49,7,8
49,10,8
49,11,8
49,13,8
49,7,8
