food,ore,wood,poop,run_id
340,46,84,20,1
280,46,164,40,1
220,46,244,60,1
160,46,324,80,1
100,44,320,100,1
40,44,320,120,1
0,40,304,140,1
0,40,328,155,1
0,40,346,167,1
0,40,361,176,1
0,40,373,183,1
0,40,382,189,1
0,39,388,194,1
0,39,394,195,1
0,39,397,195,1
0,39,400,197,1
0,39,403,198,1
340,50,100,20,2
280,48,96,40,2
268,44,80,60,2
232,20,75,80,2
200,43,72,100,2
156,49,60,111,2
116,65,60,119,2
76,74,54,127,2
61,70,38,134,2
41,58,6,144,2
31,66,6,151,2
21,74,6,158,2
15,82,6,165,2
15,90,6,172,2
15,98,6,179,2
15,106,6,186,2
15,114,6,193,2
15,122,6,200,2
10,130,6,204,2
10,138,6,208,2
10,146,6,212,2
10,154,6,216,2
10,162,6,220,2
11,166,6,223,2
14,170,6,227,2
10,178,6,231,2
10,186,6,235,2
10,194,6,239,2
10,202,6,243,2
10,210,6,247,2
10,218,6,251,2
10,226,6,255,2
10,234,6,259,2
10,238,6,262,2
10,242,6,265,2
10,246,6,268,2
10,250,6,271,2
10,254,6,274,2
10,258,6,277,2
10,262,6,280,2
10,266,6,283,2
10,270,6,286,2
10,274,6,289,2
10,278,6,292,2
10,282,6,295,2
10,286,6,298,2
10,290,6,301,2
10,294,6,304,2
10,298,6,307,2
10,302,6,310,2
10,306,6,313,2
10,310,6,316,2
10,314,6,319,2
10,318,6,322,2
10,322,6,325,2
10,326,6,328,2
10,330,6,331,2
10,334,6,334,2
10,338,6,337,2
10,342,6,340,2
10,346,6,345,2
10,350,6,350,2
10,354,6,355,2
10,358,6,360,2
10,362,6,365,2
10,366,6,370,2
10,370,6,375,2
10,374,6,380,2
10,378,6,385,2
10,382,6,390,2
10,386,6,395,2
10,390,6,400,2
11,394,6,402,2
14,398,6,406,2
12,402,6,409,2
10,406,6,412,2
13,410,6,416,2
11,414,6,419,2
10,418,6,422,2
10,422,6,425,2
10,426,6,428,2
10,430,6,431,2
10,434,6,434,2
10,438,6,437,2
10,442,6,440,2
13,446,6,444,2
10,454,6,448,2
10,462,6,452,2
10,470,6,456,2
10,478,6,460,2
10,486,6,464,2
10,494,6,468,2
10,502,6,472,2
10,510,6,476,2
10,518,6,480,2
10,522,6,483,2
10,526,6,486,2
10,530,6,489,2
10,534,6,492,2
10,538,6,495,2
340,49,97,20,3
280,25,92,4,3
220,55,92,0,3
160,80,88,0,3
172,101,88,0,3
184,122,88,0,3
196,136,80,2,3
184,140,64,0,3
172,152,64,0,3
160,164,64,0,3
136,167,52,0,3
94,158,28,5,3
112,164,22,1,3
112,162,6,0,3
130,171,6,0,3
140,180,6,0,3
138,192,6,0,3
136,204,6,0,3
134,216,6,0,3
132,228,6,0,3
130,240,6,0,3
128,252,6,0,3
126,264,6,0,3
124,276,6,0,3
122,288,6,0,3
120,300,6,0,3
118,312,6,0,3
116,324,6,0,3
114,336,6,0,3
112,348,6,0,3
110,360,6,0,3
108,372,6,0,3
108,384,6,0,3
108,396,6,0,3
108,408,6,0,3
78,420,6,0,3
78,432,6,0,3
78,444,6,0,3
78,456,6,0,3
78,468,6,0,3
78,480,6,0,3
78,492,6,0,3
78,504,6,0,3
78,516,6,0,3
78,528,6,0,3
78,540,6,0,3
78,552,6,0,3
78,564,6,0,3
78,576,6,0,3
78,588,6,0,3
78,600,6,0,3
78,612,6,0,3
78,624,6,0,3
78,636,6,0,3
78,648,6,0,3
78,660,6,0,3
78,672,6,0,3
78,684,6,0,3
78,696,6,0,3
78,708,6,0,3
78,720,6,0,3
78,732,6,0,3
78,744,6,0,3
78,756,6,0,3
78,768,6,0,3
78,780,6,0,3
78,792,6,0,3
78,804,6,0,3
78,816,6,0,3
78,828,6,0,3
78,840,6,0,3
78,852,6,0,3
78,864,6,0,3
78,876,6,0,3
96,891,6,0,3
126,912,6,0,3
144,936,6,0,3
168,966,6,0,3
204,1002,6,0,3
270,1047,6,0,3
342,1104,6,0,3
425,1184,6,0,3
435,1264,6,0,3
464,1349,6,0,3
469,1451,6,0,3
450,1536,6,0,3
450,1621,6,0,3
450,1706,6,0,3
450,1791,6,0,3
450,1876,6,0,3
450,1961,6,0,3
450,2046,6,0,3
450,2131,6,0,3
450,2216,6,0,3
450,2301,6,0,3
450,2386,6,0,3
450,2471,6,0,3
450,2556,6,0,3
450,2641,6,0,3
450,2726,6,0,3
340,46,84,20,4
280,43,154,40,4
220,41,222,60,4
160,17,241,80,4
100,24,265,100,4
40,31,289,120,4
0,38,313,140,4
0,35,313,155,4
3,38,325,167,4
4,41,337,181,4
3,36,333,198,4
4,40,349,215,4
6,45,369,237,4
5,37,361,267,4
17,25,345,297,4
32,33,377,337,4
13,18,353,372,4
45,24,377,407,4
65,33,409,458,4
45,21,409,529,4
41,14,413,600,4
158,26,461,671,4
207,50,515,773,4
231,78,587,884,4
207,70,577,1005,4
207,84,591,1126,4
155,76,559,1247,4
213,96,634,1368,4
85,73,556,1474,4
149,69,612,1517,4
140,37,610,1578,4
140,13,624,1639,4
253,13,688,1686,4
253,13,771,1740,4
253,13,854,1794,4
253,5,902,1848,4
253,5,966,1888,4
253,5,1030,1928,4
192,5,1078,1950,4
192,5,1126,1972,4
192,5,1174,1994,4
192,5,1222,2016,4
192,5,1270,2038,4
192,5,1318,2060,4
192,5,1366,2082,4
192,5,1414,2104,4
192,5,1462,2126,4
192,5,1510,2148,4
192,5,1558,2170,4
192,5,1606,2192,4
192,5,1654,2214,4
206,5,1708,2257,4
253,5,1772,2317,4
253,5,1855,2372,4
253,5,1938,2427,4
253,5,2021,2482,4
253,5,2104,2537,4
253,5,2187,2592,4
318,5,2277,2647,4
375,5,2367,2710,4
375,5,2457,2772,4
375,5,2547,2834,4
375,5,2637,2896,4
375,5,2727,2958,4
375,5,2817,3020,4
375,5,2907,3082,4
375,5,2997,3144,4
375,5,3087,3206,4
375,5,3177,3268,4
375,5,3267,3330,4
375,5,3357,3392,4
375,5,3447,3454,4
375,5,3537,3516,4
375,5,3627,3578,4
375,5,3717,3640,4
375,5,3807,3702,4
375,5,3897,3764,4
375,5,3987,3826,4
375,5,4077,3888,4
375,5,4167,3950,4
375,5,4257,4012,4
318,5,4347,4065,4
318,5,4437,4118,4
318,5,4527,4171,4
318,5,4617,4224,4
318,5,4707,4277,4
318,5,4797,4330,4
318,5,4887,4383,4
193,5,4940,4414,4
193,5,4993,4445,4
192,5,5041,4477,4
144,5,5077,4501,4
134,5,5113,4524,4
134,5,5149,4547,4
134,5,5185,4570,4
134,5,5221,4593,4
134,5,5257,4616,4
134,5,5293,4639,4
134,5,5329,4662,4
134,5,5365,4685,4
340,46,84,20,5
280,44,116,40,5
241,38,118,60,5
190,26,100,80,5
197,23,104,100,5
207,23,114,120,5
146,23,130,145,5
55,13,96,170,5
36,12,108,185,5
14,12,120,191,5
12,12,132,197,5
12,12,144,203,5
9,4,137,212,5
12,4,149,218,5
15,4,165,224,5
21,4,187,232,5
30,4,218,243,5
39,4,257,258,5
48,4,308,276,5
60,4,371,298,5
75,4,446,323,5
84,4,537,369,5
98,4,628,407,5
98,4,723,453,5
98,4,814,495,5
98,4,905,537,5
98,4,996,579,5
98,4,1087,621,5
98,4,1178,663,5
84,4,1256,696,5
84,4,1334,729,5
84,4,1412,762,5
84,4,1490,795,5
84,4,1568,828,5
84,4,1646,861,5
84,4,1724,894,5
84,4,1802,927,5
84,4,1880,960,5
84,4,1958,993,5
84,4,2036,1026,5
84,4,2114,1059,5
84,4,2192,1092,5
84,4,2270,1125,5
84,4,2348,1158,5
84,4,2426,1191,5
84,4,2504,1224,5
84,4,2582,1257,5
84,4,2660,1290,5
84,4,2738,1323,5
84,4,2816,1356,5
84,4,2894,1389,5
84,4,2972,1422,5
