population,babies,run_id
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
22,2,1
25,3,1
27,2,1
30,3,1
34,4,1
37,3,1
40,3,1
40,3,1
40,3,1
40,2,1
40,3,1
40,3,1
20,0,2
20,0,2
20,0,2
20,0,2
20,0,2
20,0,2
15,0,2
12,0,2
9,0,2
7,0,2
6,1,2
5,0,2
4,0,2
3,0,2
2,0,2
1,0,2
0,0,2
13,0,3
13,0,3
13,0,3
13,0,3
13,2,3
13,1,3
13,2,3
13,1,3
13,0,3
12,1,3
13,1,3
16,3,3
16,3,3
16,3,3
16,5,3
16,1,3
16,3,3
16,3,3
16,2,3
16,1,3
20,0,4
20,0,4
20,0,4
20,6,4
20,7,4
20,12,4
15,6,4
12,0,4
17,5,4
21,4,4
21,4,4
16,0,4
17,1,4
24,10,4
24,2,4
24,3,4
29,5,4
34,5,4
42,8,4
52,10,4
20,0,5
20,1,5
25,5,5
17,6,5
22,5,5
29,7,5
29,3,5
29,3,5
29,2,5
25,6,5
26,1,5
32,6,5
32,3,5
32,3,5
32,1,5
32,1,5
32,3,5
32,4,5
32,0,5
32,2,5
20,0,6
17,0,6
17,0,6
17,0,6
17,0,6
17,0,6
17,0,6
17,0,6
17,0,6
23,6,6
33,10,6
43,10,6
43,11,6
43,11,6
43,11,6
39,13,6
39,13,6
28,5,6
28,9,6
28,4,6
20,0,7
20,0,7
20,0,7
20,0,7
20,1,7
20,3,7
20,6,7
20,4,7
24,6,7
24,5,7
24,2,7
24,7,7
24,7,7
24,8,7
24,5,7
24,6,7
24,2,7
24,6,7
24,3,7
25,1,7
20,0,8
20,0,8
20,0,8
20,0,8
20,14,8
20,5,8
20,7,8
20,5,8
10,5,8
8,2,8
9,1,8
9,1,8
9,1,8
7,1,8
7,0,8
7,2,8
7,1,8
6,0,8
5,1,8
4,0,8
20,0,9
20,0,9
12,0,9
12,12,9
19,7,9
28,9,9
28,11,9
28,19,9
28,11,9
28,13,9
28,8,9
28,5,9
28,12,9
28,6,9
28,0,9
30,2,9
34,4,9
34,5,9
31,2,9
33,2,9
20,0,10
20,0,10
34,14,10
55,21,10
113,58,10
145,32,10
180,35,10
180,12,10
194,14,10
208,14,10
232,24,10
258,26,10
295,37,10
329,34,10
363,34,10
403,40,10
452,49,10
452,47,10
452,38,10
452,33,10
20,0,11
20,0,11
20,0,11
20,0,11
20,0,11
20,0,11
20,0,11
20,0,11
19,0,11
19,0,11
19,0,11
19,0,11
19,0,11
19,0,11
19,0,11
19,0,11
19,0,11
19,0,11
14,0,11
14,0,11
20,0,12
20,0,12
20,14,12
20,8,12
20,5,12
20,15,12
15,12,12
12,0,12
9,7,12
7,11,12
6,6,12
10,4,12
10,3,12
13,3,12
17,4,12
17,1,12
21,4,12
25,4,12
25,1,12
25,3,12
20,0,13
20,0,13
20,0,13
20,0,13
21,5,13
21,1,13
23,2,13
25,2,13
36,11,13
61,25,13
61,25,13
61,31,13
61,31,13
61,21,13
61,30,13
61,23,13
61,22,13
61,21,13
40,28,13
40,13,13
20,0,14
20,0,14
20,0,14
20,0,14
20,0,14
20,0,14
20,0,14
20,0,14
20,0,14
20,0,14
24,4,14
25,1,14
25,4,14
25,0,14
25,0,14
25,1,14
25,3,14
25,3,14
25,4,14
25,1,14
20,0,15
20,0,15
20,0,15
20,0,15
20,0,15
20,0,15
20,0,15
20,0,15
20,0,15
20,0,15
25,5,15
30,5,15
30,1,15
30,12,15
30,14,15
30,12,15
30,13,15
43,13,15
43,2,15
54,11,15
