food,ore,wood,poop,run_id
340,49,97,20,1
280,25,92,4,1
220,41,88,0,1
205,45,76,8,1
210,55,76,13,1
176,47,52,27,1
129,31,16,47,1
199,34,10,58,1
256,36,2,69,1
313,42,2,73,1
371,50,2,80,1
418,58,2,86,1
452,68,2,92,1
474,78,2,99,1
477,90,2,106,1
467,102,2,113,1
457,114,2,120,1
447,126,2,127,1
437,138,2,134,1
427,150,2,141,1
340,46,84,20,2
280,45,81,40,2
220,41,73,33,2
160,41,73,11,2
100,33,57,0,2
40,33,57,0,2
0,9,52,0,2
0,10,46,0,2
0,14,46,0,2
0,2,22,0,2
0,4,22,0,2
0,6,22,0,2
0,4,18,0,2
0,4,18,0,2
0,4,18,0,2
0,4,18,0,2
0,4,18,0,2
340,46,84,20,3
314,44,113,33,3
310,43,128,46,3
296,40,134,47,3
279,34,128,54,3
270,30,129,58,3
261,30,135,53,3
245,22,125,54,3
222,10,101,67,3
231,10,107,68,3
241,10,113,68,3
250,10,119,69,3
243,2,109,73,3
239,2,115,68,3
235,2,121,63,3
231,2,127,58,3
227,2,133,53,3
223,2,139,48,3
219,2,145,43,3
215,2,151,38,3
340,26,95,20,4
280,58,79,40,4
220,85,82,60,4
160,114,89,80,4
100,124,78,85,4
40,145,85,87,4
0,159,83,89,4
0,169,82,86,4
26,178,85,86,4
39,190,89,85,4
39,193,80,88,4
0,136,66,109,4
20,130,35,119,4
40,147,38,121,4
60,171,42,124,4
27,173,20,139,4
65,182,7,148,4
87,206,11,150,4
103,234,15,151,4
132,265,20,151,4
340,47,94,20,5
280,45,90,40,5
328,41,74,60,5
315,35,62,85,5
352,35,62,102,5
384,35,62,124,5
302,25,22,153,5
280,25,50,182,5
213,13,42,211,5
212,13,62,240,5
223,13,82,265,5
232,13,102,291,5
210,12,123,323,5
167,12,143,340,5
118,8,155,357,5
96,8,171,362,5
96,8,187,367,5
96,8,203,372,5
96,8,219,377,5
96,8,235,382,5
340,46,84,20,6
280,46,84,40,6
236,44,80,57,6
274,44,80,74,6
284,38,68,91,6
270,26,44,108,6
322,26,44,125,6
367,23,38,142,6
397,15,22,159,6
449,15,22,176,6
502,15,22,199,6
522,15,22,232,6
487,15,22,275,6
452,15,22,318,6
417,14,19,361,6
332,14,19,377,6
280,14,19,392,6
213,10,11,407,6
199,10,11,405,6
185,10,11,403,6
340,26,95,20,7
280,45,92,40,7
220,52,88,33,7
223,55,82,35,7
208,54,70,43,7
188,50,54,51,7
178,55,54,56,7
138,45,30,70,7
142,49,30,78,7
136,54,30,90,7
130,59,30,102,7
124,64,30,114,7
118,69,30,126,7
112,74,30,138,7
100,74,22,150,7
78,78,22,150,7
64,82,22,150,7
64,86,22,150,7
48,84,6,159,7
49,87,14,162,7
340,48,96,20,8
340,48,96,40,8
316,44,80,60,8
286,44,110,80,8
226,41,161,100,8
166,17,192,120,8
106,26,219,140,8
46,33,237,139,8
0,35,247,141,8
0,35,249,139,8
12,37,252,138,8
6,30,239,141,8
6,19,215,147,8
0,14,203,150,8
6,15,206,148,8
6,16,209,146,8
6,17,212,144,8
0,18,215,139,8
0,19,218,133,8
0,18,214,132,8
340,47,94,20,9
280,39,78,40,9
220,35,62,60,9
198,33,78,72,9
255,33,90,84,9
266,9,97,103,9
265,45,117,131,9
264,81,137,159,9
263,117,157,187,9
262,153,177,215,9
261,189,197,243,9
169,191,163,271,9
116,209,183,299,9
66,209,179,327,9
46,153,173,355,9
136,169,197,383,9
149,184,220,413,9
148,200,246,435,9
114,196,234,460,9
123,212,258,479,9
340,47,94,20,10
280,45,90,40,10
480,45,90,60,10
697,37,74,94,10
958,37,74,149,10
1449,37,74,262,10
1848,31,62,407,10
1386,19,38,587,10
1470,19,38,767,10
1550,3,6,961,10
1776,3,6,1169,10
2002,3,6,1401,10
2258,3,6,1659,10
2686,3,6,1954,10
3030,3,6,2283,10
3419,3,6,2646,10
3811,3,6,3049,10
3751,3,6,3501,10
3751,2,3,3953,10
2850,2,3,4117,10
