houses,farms,mines,lumber mills,latrines,run_id
0,0,0,0,0,1
0,1,0,0,0,1
0,1,0,0,1,1
1,1,0,0,1,1
1,1,0,1,1,1
1,1,1,1,1,1
1,1,1,1,2,1
1,2,1,1,2,1
1,2,1,2,2,1
1,2,1,2,2,1
1,2,1,2,2,1
1,2,1,2,2,1
1,2,1,2,2,1
1,3,1,2,2,1
1,3,1,2,2,1
1,3,1,2,2,1
2,3,1,2,2,1
2,3,1,2,2,1
2,3,1,2,2,1
2,3,2,2,2,1
2,3,2,2,2,1
2,3,2,2,2,1
2,3,2,2,2,1
2,3,2,2,2,1
2,3,2,2,3,1
2,3,2,2,4,1
2,3,2,2,4,1
2,3,2,2,4,1
2,3,2,2,4,1
2,3,2,2,4,1
2,3,2,2,4,1
2,3,2,2,4,1
2,3,2,2,4,1
2,3,2,2,4,1
2,3,2,2,4,1
2,3,2,2,4,1
2,3,2,2,4,1
2,3,2,2,4,1
2,3,2,2,4,1
2,3,2,2,4,1
2,3,2,2,4,1
2,3,2,2,4,1
2,3,2,2,4,1
2,3,2,2,4,1
2,3,2,2,4,1
3,3,2,2,4,1
3,3,2,2,4,1
3,3,2,2,4,1
3,3,2,2,4,1
3,3,2,2,4,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,6,1
3,3,2,2,6,1
3,3,2,2,6,1
3,3,2,2,6,1
3,3,2,2,6,1
3,3,2,2,6,1
3,3,2,2,6,1
3,3,2,2,6,1
3,3,2,2,6,1
3,3,2,2,6,1
3,3,2,2,6,1
3,3,2,2,6,1
3,3,2,2,6,1
3,3,2,2,6,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
4,3,2,2,5,1
4,3,2,2,5,1
4,3,2,2,5,1
4,3,2,2,5,1
4,3,2,2,5,1
4,3,2,2,5,1
3,3,2,2,5,1
3,3,2,2,5,1
0,0,0,0,0,2
0,0,1,0,0,2
0,0,1,0,0,2
0,0,1,1,0,2
0,0,1,1,0,2
1,0,1,1,0,2
1,0,1,1,0,2
1,1,1,1,0,2
1,1,1,1,0,2
1,1,1,1,0,2
2,1,1,1,0,2
2,1,1,1,1,2
2,1,1,1,1,2
2,2,1,1,1,2
2,2,1,1,1,2
3,2,1,1,1,2
4,2,1,1,1,2
3,2,1,2,1,2
3,2,0,2,2,2
3,2,0,2,2,2
3,2,0,2,3,2
3,2,0,2,3,2
