food,ore,wood,poop,run_id
340,49,97,20,1
306,45,81,14,1
272,45,105,8,1
238,45,129,2,1
205,21,136,8,1
171,21,151,8,1
137,19,159,11,1
115,15,160,17,1
90,15,169,14,1
65,15,178,11,1
40,15,187,8,1
15,12,190,8,1
6,4,180,8,1
9,4,186,0,1
9,4,192,0,1
9,4,198,0,1
9,4,204,0,1
9,4,210,0,1
9,4,216,0,1
9,4,222,0,1
9,4,228,0,1
9,4,234,0,1
9,4,240,0,1
9,4,246,0,1
9,4,252,0,1
9,4,258,0,1
9,4,264,0,1
9,4,270,0,1
9,4,276,0,1
9,4,282,0,1
9,4,288,0,1
9,4,294,0,1
9,4,300,0,1
9,4,306,0,1
9,4,312,0,1
9,4,318,0,1
9,4,324,0,1
9,4,333,0,1
9,4,342,0,1
9,4,351,0,1
9,4,360,0,1
9,4,369,0,1
9,4,378,0,1
9,4,387,0,1
9,4,396,0,1
9,4,405,0,1
9,4,414,0,1
9,4,423,0,1
9,4,432,0,1
9,4,441,0,1
9,4,450,0,1
9,4,459,0,1
9,4,468,0,1
9,4,477,0,1
9,4,486,0,1
9,4,495,0,1
9,4,504,0,1
9,4,513,0,1
9,4,522,0,1
9,4,531,0,1
9,4,540,0,1
9,4,549,0,1
9,4,558,0,1
9,4,567,0,1
9,4,576,0,1
9,4,585,0,1
9,4,594,0,1
0,4,606,0,1
0,2,608,0,1
4,2,614,0,1
8,2,620,0,1
8,2,626,0,1
8,2,632,0,1
8,2,638,0,1
8,2,644,0,1
8,2,650,0,1
8,2,656,0,1
8,2,662,0,1
8,2,668,0,1
8,2,674,0,1
8,2,680,0,1
8,2,686,0,1
8,2,692,0,1
8,2,698,0,1
8,2,704,0,1
8,2,710,0,1
8,2,716,0,1
8,2,722,0,1
8,2,728,0,1
8,2,734,0,1
8,2,740,0,1
8,2,746,0,1
8,2,752,0,1
8,2,758,0,1
8,2,764,0,1
8,2,770,0,1
8,2,776,0,1
8,2,782,0,1
8,2,788,0,1
8,2,794,0,1
340,50,100,20,2
280,48,96,40,2
360,47,93,60,2
349,41,81,59,2
374,41,81,58,2
366,37,65,66,2
371,37,80,71,2
388,37,89,74,2
409,37,95,76,2
430,37,101,78,2
451,37,107,80,2
466,34,107,82,2
487,34,113,84,2
490,26,100,89,2
506,26,106,91,2
524,26,112,92,2
538,26,121,93,2
543,22,122,96,2
539,14,112,98,2
535,14,118,88,2
518,2,97,87,2
