population,babies,run_id
20,0,1
20,0,1
16,13,1
21,5,1
25,4,1
35,10,1
35,13,1
35,0,1
35,0,1
24,8,1
24,1,1
24,2,1
27,3,1
27,1,1
27,4,1
34,7,1
41,7,1
46,5,1
57,11,1
71,14,1
81,10,1
99,18,1
116,17,1
120,4,1
92,4,1
92,19,1
92,21,1
92,19,1
92,24,1
92,22,1
86,13,1
86,12,1
86,18,1
86,12,1
86,21,1
86,12,1
86,20,1
86,17,1
86,16,1
86,16,1
86,18,1
86,17,1
86,13,1
86,17,1
86,14,1
86,11,1
81,24,1
81,19,1
81,14,1
81,15,1
81,16,1
81,12,1
71,17,1
71,15,1
67,13,1
67,15,1
85,18,1
104,19,1
110,6,1
117,7,1
120,3,1
120,5,1
75,5,1
75,23,1
75,11,1
75,20,1
61,16,1
61,13,1
61,14,1
61,12,1
61,22,1
61,13,1
61,15,1
61,26,1
61,12,1
61,22,1
61,12,1
61,11,1
61,20,1
61,11,1
61,15,1
61,19,1
61,10,1
61,14,1
61,12,1
61,19,1
61,10,1
61,14,1
61,12,1
61,16,1
61,13,1
61,13,1
61,15,1
61,21,1
61,12,1
61,9,1
61,9,1
61,18,1
61,14,1
61,14,1
20,0,2
20,0,2
20,0,2
20,0,2
20,0,2
25,5,2
27,2,2
30,3,2
30,3,2
30,6,2
21,5,2
21,3,2
21,1,2
21,4,2
21,8,2
21,7,2
21,4,2
21,4,2
21,3,2
21,6,2
21,4,2
21,2,2
21,7,2
21,2,2
21,8,2
21,2,2
21,3,2
21,6,2
21,7,2
21,7,2
21,3,2
21,5,2
21,4,2
21,5,2
21,4,2
21,6,2
21,7,2
21,5,2
21,8,2
21,7,2
21,6,2
21,2,2
21,1,2
21,5,2
21,3,2
21,3,2
21,7,2
21,4,2
21,2,2
21,4,2
21,2,2
21,8,2
21,5,2
21,5,2
21,7,2
21,5,2
21,5,2
21,6,2
21,8,2
21,2,2
21,5,2
21,4,2
21,3,2
21,3,2
21,3,2
21,5,2
21,1,2
21,0,2
21,5,2
21,9,2
21,3,2
21,4,2
21,3,2
21,3,2
21,4,2
21,5,2
21,4,2
21,4,2
21,4,2
21,2,2
21,2,2
21,7,2
21,3,2
21,7,2
21,2,2
21,6,2
21,4,2
21,6,2
21,1,2
21,5,2
21,4,2
21,8,2
21,6,2
21,6,2
21,5,2
21,3,2
21,1,2
21,2,2
21,7,2
21,3,2
20,0,3
20,1,3
20,15,3
20,5,3
20,9,3
20,3,3
15,8,3
12,1,3
9,6,3
7,1,3
9,2,3
10,1,3
12,2,3
14,2,3
18,4,3
18,2,3
18,4,3
18,2,3
18,2,3
18,3,3
18,2,3
18,3,3
18,4,3
18,3,3
18,3,3
18,4,3
18,6,3
18,3,3
18,4,3
18,2,3
18,6,3
18,4,3
18,5,3
18,5,3
18,5,3
18,6,3
18,1,3
18,1,3
18,7,3
18,7,3
18,4,3
18,3,3
18,5,3
18,5,3
18,6,3
18,4,3
18,1,3
18,5,3
18,4,3
18,3,3
18,4,3
18,3,3
18,5,3
18,3,3
18,2,3
18,3,3
18,3,3
18,6,3
18,2,3
18,4,3
18,5,3
18,6,3
18,2,3
18,5,3
18,5,3
18,5,3
18,3,3
18,1,3
18,3,3
18,1,3
18,4,3
18,4,3
18,6,3
18,7,3
18,1,3
18,2,3
18,5,3
18,5,3
18,3,3
22,4,3
22,5,3
22,5,3
22,8,3
22,7,3
22,2,3
22,4,3
22,5,3
22,5,3
22,4,3
22,2,3
22,5,3
22,4,3
22,5,3
22,7,3
22,3,3
22,5,3
22,5,3
22,4,3
22,6,3
22,7,3
20,0,4
20,0,4
20,9,4
20,7,4
20,4,4
20,5,4
15,5,4
12,2,4
9,3,4
10,1,4
10,0,4
11,1,4
11,0,4
11,0,4
12,1,4
12,0,4
13,1,4
13,0,4
13,0,4
13,1,4
10,0,4
12,2,4
12,0,4
13,1,4
13,0,4
14,1,4
16,2,4
19,3,4
22,3,4
22,0,4
25,3,4
29,4,4
33,4,4
34,1,4
34,2,4
28,2,4
28,1,4
31,3,4
31,1,4
32,1,4
21,0,4
21,3,4
16,3,4
16,1,4
18,2,4
18,0,4
18,1,4
18,2,4
18,0,4
18,0,4
18,1,4
18,0,4
18,1,4
18,2,4
20,2,4
20,0,4
25,5,4
25,3,4
25,2,4
30,5,4
30,1,4
34,4,4
40,6,4
40,4,4
44,4,4
44,6,4
44,1,4
32,4,4
32,5,4
32,3,4
41,9,4
50,9,4
49,8,4
49,8,4
49,10,4
49,11,4
49,4,4
59,10,4
59,7,4
68,9,4
79,11,4
79,15,4
81,17,4
81,5,4
94,13,4
94,21,4
62,2,4
73,11,4
87,14,4
111,24,4
115,4,4
115,4,4
115,17,4
118,3,4
118,22,4
102,26,4
102,12,4
109,7,4
114,5,4
114,6,4
20,0,5
20,0,5
20,0,5
20,0,5
20,0,5
20,0,5
20,0,5
20,0,5
20,0,5
20,0,5
20,0,5
20,2,5
20,4,5
20,4,5
20,0,5
20,0,5
20,1,5
20,1,5
20,4,5
20,3,5
20,2,5
20,1,5
20,4,5
22,2,5
22,2,5
22,3,5
22,2,5
22,1,5
22,1,5
22,1,5
22,2,5
22,3,5
22,3,5
22,3,5
22,1,5
22,4,5
22,3,5
22,1,5
22,0,5
22,1,5
22,1,5
22,2,5
22,2,5
22,0,5
22,2,5
22,4,5
22,2,5
22,2,5
22,2,5
22,3,5
22,2,5
22,3,5
22,3,5
22,3,5
22,2,5
22,3,5
22,3,5
22,4,5
22,5,5
22,4,5
22,1,5
22,2,5
22,3,5
22,4,5
22,2,5
22,1,5
22,2,5
22,3,5
22,3,5
22,4,5
22,5,5
22,3,5
22,1,5
22,2,5
22,2,5
22,0,5
22,3,5
22,4,5
22,2,5
22,0,5
22,1,5
22,2,5
22,4,5
22,2,5
22,4,5
22,3,5
22,3,5
22,2,5
22,2,5
22,2,5
22,0,5
22,2,5
22,4,5
22,4,5
22,5,5
22,2,5
22,1,5
22,1,5
22,3,5
22,4,5
20,0,6
20,0,6
20,0,6
20,0,6
20,0,6
20,0,6
20,0,6
20,0,6
20,0,6
20,1,6
23,3,6
23,2,6
23,1,6
23,2,6
23,6,6
23,5,6
23,0,6
23,2,6
23,3,6
23,3,6
23,4,6
23,4,6
23,3,6
23,3,6
23,2,6
23,4,6
23,5,6
23,3,6
23,1,6
22,5,6
22,3,6
22,3,6
22,3,6
22,4,6
22,0,6
22,1,6
22,7,6
22,5,6
22,6,6
22,2,6
22,3,6
22,4,6
22,5,6
22,2,6
22,3,6
22,2,6
22,1,6
19,1,6
19,3,6
19,2,6
21,2,6
21,0,6
25,4,6
31,6,6
35,4,6
44,9,6
56,12,6
55,16,6
55,13,6
55,7,6
55,13,6
55,15,6
55,11,6
55,12,6
55,14,6
55,12,6
55,14,6
44,13,6
44,5,6
44,6,6
44,11,6
44,13,6
44,11,6
44,9,6
44,4,6
44,7,6
44,10,6
44,8,6
44,6,6
44,9,6
44,17,6
44,13,6
44,9,6
44,12,6
39,10,6
39,11,6
39,7,6
39,6,6
39,6,6
39,11,6
39,9,6
39,5,6
39,2,6
39,10,6
39,11,6
39,5,6
39,9,6
39,9,6
39,5,6
39,6,6
17,0,7
17,0,7
17,10,7
17,2,7
17,13,7
17,2,7
17,8,7
17,9,7
13,11,7
10,5,7
8,3,7
6,2,7
5,1,7
4,0,7
3,2,7
2,1,7
1,1,7
0,0,7
20,0,8
20,0,8
17,0,8
17,0,8
17,0,8
16,5,8
16,7,8
10,6,8
8,6,8
9,3,8
9,1,8
22,13,8
38,30,8
64,26,8
132,68,8
148,16,8
148,14,8
148,14,8
118,15,8
118,12,8
118,10,8
118,8,8
118,8,8
118,9,8
118,9,8
118,11,8
136,18,8
102,22,8
77,13,8
58,50,8
82,24,8
121,39,8
132,11,8
147,15,8
161,14,8
161,12,8
161,11,8
161,21,8
161,12,8
161,12,8
161,17,8
161,14,8
161,13,8
161,15,8
