Food Produced,Food Eaten,Current Food,run_id
0.0,60.0,340,1
0.0,60.0,280,1
0.0,60.0,220,1
0.0,60.0,160,1
0.0,60.0,100,1
0.0,60.0,40,1
0.0,48.6,0,1
0.0,29.4,0,1
0.0,18.15,0,1
0.0,12.15,0,1
0.0,7.35,0,1
0.0,5.4,0,1
0.0,3.75,0,1
0.0,2.4000000000000004,0,1
0.0,1.35,0,1
0.0,0.6000000000000001,0,1
0.0,0.15,0,1
0.0,60.0,340,2
0.0,60.0,280,2
0.0,60.0,220,2
0.0,60.0,160,2
0.0,60.0,100,2
0.0,60.0,40,2
0.0,33.75,6,2
0.0,33.75,0,2
0.0,21.6,0,2
0.0,12.15,0,2
0.0,7.35,0,2
0.0,5.4,0,2
0.0,3.75,0,2
0.0,1.35,0,2
0.0,0.6000000000000001,0,2
0.0,0.15,0,2
0.0,60.0,340,3
0.0,60.0,280,3
0.0,60.0,220,3
60.0,60.0,220,3
60.0,60.0,220,3
60.0,60.0,220,3
42.0,60.0,202,3
42.0,60.0,184,3
35.599999999999994,48.6,171,3
23.599999999999994,48.6,146,3
11.599999999999994,48.6,109,3
17.599999999999994,48.6,78,3
17.599999999999994,48.6,47,3
12.0,48.6,12,3
18.0,48.6,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
18.0,54.150000000000006,18,3
