population,babies,run_id
20,0,1
20,0,1
20,0,1
20,0,1
20,6,1
18,3,1
14,6,1
11,7,1
9,2,1
7,0,1
6,3,1
5,4,1
4,1,1
3,0,1
2,0,1
1,0,1
0,0,1
20,0,2
20,0,2
20,13,2
20,23,2
20,5,2
15,11,2
15,8,2
12,5,2
9,4,2
7,1,2
6,1,2
5,3,2
3,1,2
2,2,2
1,1,2
0,0,2
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
18,0,3
18,2,3
18,2,3
18,2,3
18,2,3
18,3,3
18,3,3
19,1,3
19,2,3
19,1,3
19,2,3
19,2,3
19,3,3
19,1,3
19,0,3
19,1,3
19,3,3
19,1,3
19,1,3
19,2,3
19,2,3
19,1,3
19,3,3
19,2,3
19,3,3
19,5,3
19,2,3
19,0,3
19,1,3
19,1,3
19,2,3
19,0,3
19,2,3
19,1,3
19,3,3
19,2,3
19,4,3
19,1,3
21,2,3
21,3,3
21,1,3
21,2,3
21,3,3
21,4,3
21,3,3
21,2,3
21,5,3
21,4,3
21,3,3
21,2,3
21,0,3
21,4,3
21,4,3
21,3,3
21,2,3
21,2,3
21,3,3
21,2,3
21,3,3
21,4,3
21,4,3
21,1,3
21,2,3
21,3,3
21,1,3
21,2,3
21,0,3
21,1,3
21,3,3
21,7,3
21,0,3
21,3,3
21,1,3
21,1,3
21,1,3
21,2,3
21,3,3
21,3,3
21,3,3
21,3,3
21,4,3
21,4,3
21,3,3
21,4,3
21,2,3
21,2,3
21,1,3
21,5,3
21,2,3
21,1,3
21,1,3
21,3,3
21,3,3
20,0,4
20,0,4
20,5,4
20,3,4
20,2,4
20,4,4
15,3,4
15,0,4
15,0,4
15,0,4
17,2,4
17,0,4
17,2,4
17,2,4
17,2,4
17,2,4
17,5,4
17,2,4
17,2,4
17,3,4
17,5,4
17,2,4
17,1,4
17,3,4
17,2,4
17,3,4
17,0,4
17,3,4
17,2,4
17,4,4
17,3,4
17,4,4
20,3,4
20,1,4
20,7,4
20,5,4
20,3,4
20,6,4
20,4,4
20,3,4
20,8,4
20,3,4
20,2,4
24,4,4
29,5,4
39,10,4
49,10,4
56,7,4
79,23,4
98,19,4
132,34,4
138,6,4
147,9,4
152,5,4
152,4,4
152,7,4
152,1,4
152,5,4
152,8,4
152,5,4
152,7,4
152,10,4
152,13,4
152,7,4
152,6,4
152,6,4
114,8,4
86,5,4
65,26,4
49,19,4
37,18,4
28,14,4
21,11,4
16,6,4
12,5,4
9,4,4
7,4,4
6,2,4
5,1,4
4,1,4
3,1,4
2,0,4
1,1,4
0,0,4
20,0,5
20,0,5
20,0,5
20,9,5
20,2,5
20,6,5
20,9,5
20,8,5
20,11,5
20,5,5
20,12,5
20,6,5
20,4,5
20,7,5
20,6,5
20,7,5
20,7,5
20,7,5
20,7,5
20,5,5
20,7,5
20,6,5
20,4,5
20,10,5
20,9,5
20,2,5
20,10,5
20,8,5
20,6,5
20,6,5
20,9,5
20,3,5
20,12,5
20,6,5
20,5,5
20,5,5
29,9,5
43,14,5
65,22,5
99,34,5
151,52,5
171,20,5
183,12,5
183,13,5
183,18,5
183,12,5
183,10,5
183,12,5
183,18,5
183,13,5
183,22,5
183,17,5
183,13,5
183,18,5
183,10,5
183,22,5
183,14,5
183,14,5
183,17,5
183,9,5
183,18,5
183,18,5
183,9,5
183,12,5
183,8,5
183,6,5
183,8,5
183,7,5
183,13,5
183,9,5
183,5,5
183,6,5
183,11,5
183,4,5
183,2,5
183,6,5
183,6,5
183,4,5
183,7,5
183,3,5
183,8,5
183,5,5
183,4,5
183,7,5
183,2,5
183,5,5
183,3,5
183,5,5
183,4,5
183,4,5
183,3,5
183,4,5
183,3,5
183,5,5
183,3,5
183,6,5
183,4,5
183,7,5
183,7,5
183,7,5
20,0,6
20,0,6
20,0,6
20,0,6
20,0,6
20,5,6
15,8,6
19,4,6
19,6,6
25,6,6
25,1,6
33,8,6
27,5,6
27,10,6
27,4,6
27,0,6
29,2,6
29,4,6
29,4,6
29,6,6
29,6,6
31,2,6
31,2,6
33,2,6
33,1,6
39,6,6
45,6,6
45,4,6
49,4,6
49,0,6
51,2,6
51,2,6
51,3,6
55,4,6
62,7,6
71,9,6
71,6,6
71,5,6
78,7,6
78,8,6
56,3,6
64,8,6
64,5,6
64,5,6
70,6,6
70,14,6
70,7,6
70,15,6
84,14,6
103,19,6
103,16,6
103,13,6
103,18,6
108,5,6
112,4,6
112,5,6
112,12,6
112,2,6
136,24,6
122,3,6
122,3,6
122,6,6
130,8,6
130,2,6
131,1,6
133,2,6
138,5,6
138,6,6
144,6,6
144,2,6
148,4,6
148,4,6
148,6,6
148,8,6
148,5,6
148,7,6
161,13,6
161,32,6
166,5,6
173,7,6
173,8,6
177,4,6
182,5,6
182,10,6
186,4,6
186,8,6
186,3,6
194,8,6
136,6,6
83,19,6
83,15,6
83,10,6
66,13,6
66,14,6
66,12,6
66,12,6
80,14,6
93,13,6
115,22,6
115,17,6
20,0,7
20,0,7
20,0,7
20,4,7
20,2,7
20,2,7
20,3,7
20,3,7
20,0,7
20,0,7
20,2,7
20,2,7
20,2,7
20,2,7
20,0,7
22,2,7
23,1,7
23,0,7
23,4,7
23,2,7
23,2,7
23,2,7
23,4,7
19,0,7
20,1,7
20,1,7
20,2,7
20,1,7
20,0,7
20,1,7
20,2,7
23,3,7
23,1,7
27,4,7
35,8,7
38,3,7
41,3,7
41,4,7
54,13,7
54,2,7
66,12,7
79,13,7
96,17,7
106,10,7
118,12,7
83,5,7
76,16,7
76,10,7
58,18,7
58,5,7
70,12,7
90,20,7
114,24,7
114,7,7
119,5,7
119,2,7
119,5,7
119,5,7
119,7,7
119,6,7
124,5,7
124,3,7
124,8,7
128,4,7
135,7,7
139,4,7
139,8,7
139,13,7
145,6,7
145,6,7
148,3,7
148,2,7
148,3,7
148,8,7
152,4,7
152,7,7
152,4,7
158,6,7
158,17,7
158,18,7
163,5,7
163,6,7
167,4,7
172,5,7
172,6,7
177,5,7
177,7,7
182,5,7
182,8,7
182,4,7
187,5,7
187,1,7
187,7,7
189,2,7
189,3,7
190,1,7
190,1,7
190,2,7
192,2,7
183,6,7
20,0,8
20,0,8
20,9,8
20,15,8
20,27,8
20,34,8
15,39,8
12,15,8
9,8,8
10,1,8
14,4,8
21,7,8
30,9,8
46,16,8
62,16,8
84,22,8
112,28,8
122,10,8
133,11,8
146,13,8
160,14,8
160,12,8
160,8,8
160,7,8
160,7,8
160,7,8
160,12,8
160,16,8
160,15,8
160,12,8
160,10,8
160,7,8
160,9,8
160,12,8
160,9,8
160,9,8
160,9,8
160,9,8
160,10,8
160,12,8
160,11,8
160,9,8
160,12,8
160,11,8
160,13,8
160,16,8
160,11,8
160,14,8
160,11,8
160,15,8
160,13,8
160,10,8
160,13,8
160,7,8
160,11,8
160,12,8
160,15,8
160,15,8
160,12,8
160,13,8
160,15,8
160,15,8
160,15,8
160,16,8
160,12,8
160,12,8
160,10,8
160,15,8
160,11,8
160,16,8
160,16,8
160,13,8
160,10,8
160,10,8
160,18,8
160,11,8
160,15,8
160,10,8
160,13,8
160,9,8
160,8,8
160,14,8
160,16,8
160,11,8
160,14,8
160,18,8
160,12,8
160,17,8
160,15,8
160,9,8
160,9,8
160,13,8
160,8,8
160,13,8
160,11,8
160,14,8
160,13,8
160,12,8
160,15,8
160,11,8
20,0,9
20,0,9
20,0,9
20,0,9
20,0,9
20,0,9
20,5,9
28,8,9
28,8,9
28,9,9
28,13,9
28,15,9
28,7,9
28,18,9
47,19,9
47,34,9
47,33,9
47,29,9
47,27,9
47,31,9
47,35,9
47,25,9
47,38,9
47,35,9
47,33,9
47,21,9
47,31,9
47,31,9
47,29,9
47,30,9
47,16,9
47,26,9
47,32,9
47,32,9
47,30,9
47,24,9
47,32,9
47,29,9
47,23,9
47,28,9
47,34,9
47,28,9
47,30,9
47,21,9
47,23,9
