Food Produced,Food Eaten,Current Food,run_id
0.0,60.0,340,1
56.0,60.0,336,1
100.0,60.0,376,1
64.0,60.0,380,1
40.0,60.0,360,1
40.0,60.0,340,1
10.0,60.0,290,1
1.0,60.0,231,1
30.0,60.0,201,1
30.0,60.0,171,1
30.0,60.0,141,1
30.0,60.0,111,1
30.0,60.0,81,1
30.0,60.0,51,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
30.0,60.0,30,1
26.0,60.0,26,1
30.0,60.0,30,1
37.0,72.60000000000001,37,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
26.0,48.6,26,1
25.0,33.75,25,1
18.0,25.35,18,1
18.0,25.35,18,1
18.0,25.35,18,1
18.0,25.35,18,1
18.0,25.35,18,1
18.0,25.35,18,1
18.0,25.35,18,1
18.0,25.35,18,1
18.0,25.35,18,1
14.0,15.0,17,1
14.0,15.0,16,1
6.4,5.4,17,1
6.4,5.4,18,1
6.4,5.4,19,1
12.35,7.35,24,1
14.15,12.15,26,1
14.150000000000002,18.15,22,1
14.150000000000002,18.15,18,1
14.0,18.15,14,1
14.0,18.15,14,1
14.0,18.15,14,1
14.0,18.15,14,1
14.0,18.15,14,1
14.15,12.15,16,1
14.0,15.0,15,1
14.0,15.0,14,1
14.0,15.0,14,1
14.0,15.0,14,1
14.0,15.0,14,1
0.0,60.0,340,2
0.0,60.0,280,2
0.0,60.0,220,2
0.0,60.0,160,2
0.0,60.0,100,2
0.0,60.0,40,2
0.0,60.0,0,2
0.0,33.75,0,2
27.0,21.6,27,2
27.0,29.4,27,2
