population,babies,run_id
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
20,0,1
22,2,1
18,3,1
18,5,1
18,0,1
18,0,1
18,1,1
18,2,1
18,1,1
18,4,1
18,1,1
18,0,1
18,1,1
18,1,1
18,2,1
18,2,1
18,0,1
18,0,1
18,2,1
18,2,1
18,1,1
18,2,1
18,2,1
18,1,1
18,2,1
18,4,1
18,1,1
18,1,1
18,2,1
18,5,1
18,1,1
18,2,1
15,3,1
13,1,1
13,2,1
13,2,1
13,1,1
13,1,1
13,2,1
13,1,1
13,2,1
13,3,1
10,2,1
10,0,1
6,2,1
6,0,1
6,0,1
7,1,1
9,2,1
11,2,1
11,3,1
11,1,1
11,2,1
11,2,1
11,1,1
11,2,1
9,1,1
10,1,1
10,2,1
10,0,1
10,1,1
10,0,1
10,1,1
20,0,2
20,0,2
20,0,2
20,0,2
20,0,2
20,6,2
15,2,2
12,1,2
14,2,2
14,2,2
14,0,2
14,2,2
14,3,2
14,0,2
14,0,2
13,0,2
13,0,2
10,2,2
13,3,2
18,5,2
18,6,2
14,0,2
17,3,2
13,6,2
13,7,2
13,2,2
13,1,2
19,6,2
19,2,2
20,1,2
20,2,2
15,0,2
17,2,2
17,3,2
17,1,2
17,3,2
17,0,2
20,3,2
20,2,2
20,3,2
20,2,2
20,4,2
20,7,2
20,4,2
20,0,2
19,4,2
19,2,2
19,8,2
19,5,2
19,7,2
19,0,2
27,8,2
27,0,2
33,6,2
43,10,2
49,6,2
49,14,2
49,9,2
49,9,2
58,9,2
73,15,2
83,10,2
83,11,2
100,17,2
123,23,2
123,6,2
129,6,2
129,22,2
134,5,2
134,7,2
134,16,2
137,3,2
142,5,2
142,16,2
152,10,2
152,5,2
152,5,2
160,8,2
160,3,2
160,7,2
124,6,2
124,12,2
127,3,2
127,13,2
129,2,2
129,6,2
129,1,2
132,3,2
132,20,2
140,8,2
140,0,2
140,4,2
128,4,2
128,4,2
128,6,2
132,4,2
134,2,2
140,6,2
140,25,2
143,3,2
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
12,0,3
12,0,3
12,0,3
12,0,3
12,0,3
12,0,3
12,0,3
12,0,3
12,1,3
12,2,3
10,1,3
10,1,3
10,1,3
10,1,3
10,2,3
10,2,3
10,0,3
10,1,3
10,0,3
10,1,3
10,1,3
10,1,3
10,1,3
10,0,3
10,0,3
10,2,3
10,0,3
10,3,3
10,3,3
10,1,3
10,2,3
10,0,3
10,0,3
10,0,3
10,1,3
10,1,3
10,1,3
10,0,3
10,1,3
10,0,3
10,2,3
10,1,3
10,2,3
10,2,3
10,0,3
10,3,3
10,1,3
10,0,3
10,2,3
10,0,3
10,4,3
10,4,3
10,2,3
10,0,3
10,1,3
10,1,3
10,0,3
10,2,3
10,1,3
10,0,3
10,0,3
10,3,3
10,4,3
10,0,3
10,0,3
10,1,3
10,2,3
10,2,3
10,1,3
10,1,3
10,1,3
10,1,3
10,0,3
10,2,3
10,2,3
10,1,3
10,1,3
10,0,3
10,0,3
10,2,3
10,1,3
10,2,3
10,1,3
10,0,3
10,2,3
10,0,3
10,2,3
10,0,3
10,1,3
20,0,4
20,0,4
17,0,4
17,0,4
24,7,4
24,1,4
24,1,4
24,1,4
24,4,4
16,5,4
11,1,4
12,1,4
13,1,4
13,1,4
13,2,4
13,6,4
13,2,4
13,4,4
13,3,4
13,2,4
10,6,4
11,1,4
12,1,4
14,2,4
18,4,4
18,1,4
21,3,4
25,4,4
30,5,4
36,6,4
39,3,4
25,5,4
30,5,4
42,12,4
42,1,4
53,11,4
64,11,4
74,10,4
83,9,4
83,7,4
96,13,4
115,19,4
123,8,4
123,5,4
128,5,4
109,5,4
103,4,4
104,22,4
106,2,4
68,2,4
68,16,4
68,8,4
82,14,4
96,14,4
99,15,4
99,16,4
99,16,4
99,14,4
99,16,4
99,13,4
112,13,4
112,14,4
116,4,4
116,1,4
116,2,4
116,2,4
116,3,4
118,2,4
122,4,4
123,1,4
123,5,4
123,4,4
123,10,4
125,2,4
125,4,4
125,5,4
125,5,4
125,3,4
127,2,4
130,3,4
136,6,4
139,3,4
139,2,4
139,8,4
139,0,4
139,2,4
139,1,4
139,1,4
139,1,4
139,3,4
144,5,4
148,4,4
148,2,4
148,3,4
148,7,4
148,3,4
148,7,4
151,3,4
155,4,4
155,1,4
20,0,5
17,0,5
17,0,5
17,0,5
17,0,5
20,3,5
20,2,5
19,1,5
19,3,5
19,2,5
15,1,5
15,2,5
15,2,5
15,1,5
16,1,5
17,1,5
18,1,5
20,2,5
23,3,5
25,2,5
25,4,5
25,2,5
25,0,5
25,2,5
25,0,5
25,2,5
25,1,5
25,1,5
25,1,5
25,2,5
25,3,5
25,0,5
25,1,5
25,1,5
25,1,5
25,5,5
25,3,5
25,4,5
25,1,5
25,3,5
25,1,5
25,2,5
25,2,5
25,3,5
25,3,5
25,0,5
25,2,5
25,4,5
25,1,5
25,2,5
25,1,5
25,2,5
25,1,5
25,5,5
25,2,5
25,2,5
25,3,5
25,2,5
25,1,5
25,2,5
25,4,5
25,1,5
25,1,5
25,3,5
25,2,5
25,1,5
25,4,5
25,1,5
25,2,5
25,2,5
25,2,5
25,1,5
25,2,5
25,2,5
25,0,5
25,3,5
25,2,5
25,5,5
25,1,5
25,3,5
25,1,5
25,1,5
25,2,5
25,1,5
25,2,5
25,1,5
25,4,5
25,0,5
25,1,5
25,1,5
25,1,5
25,1,5
25,3,5
25,1,5
25,2,5
25,1,5
30,5,5
32,2,5
37,5,5
42,5,5
20,0,6
20,0,6
20,0,6
20,0,6
20,0,6
20,0,6
20,0,6
20,0,6
20,0,6
20,0,6
20,0,6
20,0,6
20,0,6
20,0,6
20,0,6
20,0,6
22,2,6
22,0,6
22,1,6
22,4,6
22,5,6
22,1,6
22,4,6
22,0,6
22,5,6
22,2,6
22,3,6
22,2,6
22,3,6
22,2,6
22,2,6
22,3,6
22,3,6
22,0,6
22,1,6
22,1,6
22,0,6
22,7,6
22,2,6
22,3,6
22,3,6
22,3,6
22,3,6
22,3,6
22,3,6
22,2,6
22,3,6
22,3,6
22,1,6
22,4,6
22,2,6
22,4,6
22,0,6
22,2,6
22,2,6
22,3,6
22,3,6
22,2,6
22,3,6
22,3,6
22,2,6
22,3,6
22,1,6
22,2,6
22,2,6
22,3,6
22,3,6
22,2,6
22,2,6
22,2,6
22,5,6
22,3,6
22,2,6
22,1,6
22,2,6
22,3,6
22,5,6
22,3,6
22,3,6
22,0,6
22,3,6
22,4,6
22,3,6
22,0,6
22,4,6
22,2,6
22,3,6
22,4,6
22,5,6
22,2,6
22,3,6
22,3,6
22,1,6
22,4,6
22,2,6
22,1,6
22,0,6
22,2,6
22,2,6
22,3,6
12,0,7
12,0,7
12,6,7
11,13,7
11,5,7
11,0,7
11,4,7
11,4,7
11,1,7
11,5,7
11,2,7
11,3,7
11,2,7
11,4,7
11,4,7
11,2,7
11,3,7
11,2,7
11,0,7
11,2,7
11,3,7
11,4,7
11,2,7
11,5,7
11,2,7
11,6,7
11,4,7
11,5,7
11,4,7
11,7,7
11,2,7
11,5,7
11,3,7
11,4,7
7,3,7
7,1,7
7,0,7
7,3,7
7,2,7
7,2,7
7,2,7
7,2,7
7,1,7
7,1,7
7,0,7
7,3,7
7,2,7
7,1,7
7,0,7
7,1,7
7,1,7
7,2,7
7,1,7
7,0,7
7,3,7
7,3,7
7,2,7
7,0,7
7,3,7
7,2,7
7,2,7
7,0,7
