food,ore,wood,poop,run_id
340,48,96,20,1
336,42,84,40,1
376,41,81,60,1
380,41,81,59,1
360,17,76,67,1
340,28,68,72,1
290,22,44,80,1
231,7,8,100,1
201,16,8,102,1
171,25,8,104,1
141,34,8,106,1
111,43,8,108,1
81,52,8,110,1
51,61,8,112,1
30,70,8,114,1
30,79,8,116,1
30,88,8,118,1
30,97,8,120,1
30,106,8,122,1
30,115,8,124,1
30,124,8,126,1
30,133,8,128,1
30,142,8,130,1
30,151,8,132,1
30,160,8,134,1
30,169,8,136,1
30,178,8,138,1
30,187,8,140,1
30,196,8,142,1
30,205,8,144,1
30,214,8,146,1
30,223,8,148,1
30,232,8,150,1
30,241,8,152,1
30,250,8,154,1
30,259,8,156,1
30,268,8,158,1
26,274,2,160,1
30,283,2,162,1
37,292,2,166,1
26,301,2,169,1
26,310,2,172,1
26,319,2,175,1
26,328,2,178,1
26,337,2,181,1
26,346,2,184,1
26,355,2,187,1
26,364,2,190,1
26,373,2,193,1
26,382,2,196,1
26,391,2,199,1
26,400,2,202,1
26,409,2,205,1
26,418,2,208,1
26,427,2,211,1
26,436,2,214,1
26,445,2,217,1
26,454,2,220,1
26,463,2,223,1
26,472,2,226,1
26,481,2,229,1
26,490,2,232,1
26,499,2,235,1
26,508,2,238,1
26,517,2,241,1
26,526,2,244,1
26,535,2,247,1
26,544,2,250,1
26,553,2,253,1
26,562,2,256,1
25,568,2,259,1
18,574,2,260,1
18,580,2,261,1
18,586,2,262,1
18,592,2,263,1
18,598,2,264,1
18,604,2,265,1
18,610,2,266,1
18,616,2,267,1
18,622,2,268,1
17,628,2,272,1
16,634,2,276,1
17,637,2,276,1
18,640,2,276,1
19,643,2,276,1
24,646,2,277,1
26,649,2,280,1
22,655,2,282,1
18,661,2,284,1
14,667,2,286,1
14,673,2,288,1
14,679,2,290,1
14,685,2,292,1
14,691,2,294,1
16,694,2,297,1
15,700,2,301,1
14,706,2,305,1
14,712,2,309,1
14,718,2,313,1
14,724,2,317,1
340,46,84,20,2
280,46,164,40,2
220,46,244,60,2
160,22,287,80,2
100,37,321,100,2
40,57,361,120,2
0,76,398,140,2
0,82,414,143,2
27,88,426,146,2
27,96,442,151,2
27,98,446,156,2
27,104,458,155,2
27,110,470,154,2
18,106,462,156,2
18,112,474,152,2
9,104,458,157,2
9,100,450,158,2
0,86,422,162,2
9,90,430,157,2
18,94,442,152,2
18,86,426,152,2
0,64,382,158,2
18,68,390,148,2
