population,babies,run_id
20,0,1
20,0,1
20,3,1
20,5,1
20,6,1
20,10,1
15,5,1
12,5,1
9,0,1
7,3,1
6,2,1
5,2,1
4,0,1
3,0,1
2,0,1
1,0,1
0,0,1
20,0,2
20,1,2
20,2,2
20,4,2
20,3,2
20,0,2
58,38,2
145,118,2
174,29,2
205,31,2
252,47,2
308,56,2
371,63,2
371,44,2
371,36,2
371,48,2
371,43,2
371,34,2
371,33,2
371,46,2
371,34,2
371,36,2
371,42,2
371,28,2
371,38,2
371,25,2
371,46,2
371,33,2
371,48,2
371,35,2
371,45,2
371,36,2
371,49,2
371,38,2
371,47,2
371,40,2
371,41,2
371,40,2
371,50,2
371,50,2
371,38,2
371,37,2
371,36,2
371,38,2
371,41,2
371,35,2
371,49,2
371,39,2
371,45,2
371,35,2
371,36,2
371,39,2
371,40,2
371,37,2
371,37,2
371,37,2
371,31,2
371,36,2
371,33,2
371,33,2
371,40,2
371,40,2
371,33,2
371,38,2
371,42,2
371,37,2
371,38,2
371,40,2
371,39,2
371,38,2
371,40,2
371,37,2
371,34,2
371,40,2
371,27,2
371,31,2
371,35,2
371,46,2
371,38,2
371,30,2
371,45,2
371,38,2
371,28,2
371,40,2
371,41,2
371,35,2
371,36,2
371,41,2
371,44,2
371,40,2
371,42,2
371,37,2
371,49,2
371,36,2
371,44,2
371,27,2
371,38,2
371,38,2
371,36,2
371,32,2
20,0,3
20,0,3
20,1,3
20,12,3
20,9,3
20,4,3
15,3,3
12,2,3
9,1,3
7,2,3
6,2,3
5,0,3
4,2,3
3,1,3
2,1,3
1,0,3
0,0,3
12,0,4
12,0,4
12,0,4
12,4,4
12,1,4
12,1,4
12,8,4
12,12,4
12,7,4
12,6,4
12,11,4
12,4,4
12,11,4
12,5,4
12,4,4
12,7,4
9,3,4
7,4,4
6,2,4
5,2,4
4,1,4
3,2,4
2,0,4
1,0,4
0,0,4
20,0,5
20,0,5
20,1,5
20,14,5
20,5,5
20,9,5
20,5,5
23,3,5
31,8,5
40,9,5
51,11,5
62,11,5
75,13,5
93,18,5
110,17,5
116,6,5
123,7,5
123,8,5
123,6,5
123,7,5
123,8,5
123,8,5
123,4,5
123,7,5
123,4,5
123,8,5
123,8,5
123,7,5
123,7,5
123,3,5
123,8,5
123,6,5
123,7,5
123,6,5
123,6,5
123,3,5
123,5,5
123,11,5
123,5,5
123,3,5
123,13,5
123,4,5
123,9,5
123,6,5
123,8,5
123,7,5
123,8,5
123,5,5
123,4,5
123,4,5
123,7,5
123,8,5
123,8,5
123,7,5
123,7,5
123,7,5
123,5,5
123,5,5
123,5,5
123,6,5
123,7,5
123,9,5
123,3,5
123,7,5
123,7,5
123,6,5
123,7,5
123,11,5
123,9,5
123,8,5
123,5,5
123,6,5
123,3,5
123,6,5
123,4,5
123,5,5
123,6,5
123,7,5
123,8,5
123,6,5
123,4,5
123,6,5
123,8,5
123,7,5
123,8,5
123,7,5
123,4,5
123,9,5
123,4,5
123,2,5
123,8,5
123,9,5
123,8,5
123,6,5
123,6,5
123,6,5
123,8,5
123,6,5
123,4,5
123,10,5
20,0,6
20,0,6
20,0,6
20,0,6
20,0,6
15,0,6
15,0,6
12,0,6
14,2,6
14,0,6
14,0,6
16,3,6
16,0,6
18,2,6
19,1,6
22,3,6
27,5,6
27,1,6
27,1,6
27,3,6
27,1,6
27,2,6
27,0,6
27,4,6
27,1,6
23,2,6
23,0,6
23,2,6
23,0,6
23,0,6
23,5,6
23,5,6
17,3,6
21,4,6
21,4,6
21,6,6
21,5,6
21,1,6
25,4,6
25,2,6
25,6,6
25,3,6
28,3,6
28,6,6
34,6,6
38,4,6
37,6,6
37,7,6
37,10,6
49,12,6
45,13,6
45,2,6
59,14,6
77,18,6
89,12,6
107,18,6
104,5,6
104,6,6
104,14,6
114,10,6
125,11,6
125,4,6
162,37,6
174,12,6
186,12,6
193,7,6
193,16,6
193,10,6
193,9,6
201,8,6
201,7,6
209,8,6
209,5,6
216,7,6
223,7,6
223,14,6
223,10,6
230,7,6
239,9,6
247,8,6
247,3,6
255,8,6
255,3,6
255,5,6
255,10,6
265,10,6
265,10,6
273,8,6
273,4,6
280,7,6
286,6,6
286,4,6
293,7,6
293,6,6
293,7,6
303,10,6
303,8,6
307,4,6
316,9,6
321,5,6
20,0,7
20,0,7
20,0,7
20,0,7
20,9,7
20,8,7
15,8,7
12,3,7
9,0,7
5,5,7
4,1,7
4,0,7
6,2,7
4,0,7
8,4,7
9,1,7
10,1,7
10,0,7
13,3,7
18,5,7
18,3,7
18,2,7
25,7,7
25,5,7
25,5,7
34,9,7
43,9,7
55,12,7
55,16,7
62,7,7
61,16,7
61,16,7
61,9,7
76,15,7
94,18,7
94,20,7
111,17,7
112,1,7
112,5,7
113,1,7
113,5,7
113,2,7
113,6,7
113,3,7
113,5,7
113,1,7
113,1,7
113,2,7
113,3,7
113,2,7
113,12,7
118,5,7
124,6,7
131,7,7
135,4,7
137,2,7
137,2,7
137,3,7
137,6,7
137,2,7
137,5,7
137,6,7
137,4,7
137,3,7
137,6,7
137,6,7
137,4,7
137,2,7
137,5,7
137,3,7
137,2,7
137,6,7
137,3,7
137,4,7
137,7,7
137,3,7
137,4,7
137,5,7
137,4,7
137,2,7
137,1,7
137,5,7
137,4,7
137,5,7
137,4,7
137,2,7
137,2,7
137,2,7
137,5,7
137,2,7
137,3,7
137,3,7
137,7,7
137,6,7
137,2,7
137,4,7
137,2,7
137,5,7
137,2,7
137,2,7
20,0,8
20,0,8
20,0,8
25,5,8
33,8,8
33,14,8
33,9,8
33,7,8
33,17,8
33,22,8
23,12,8
29,6,8
29,12,8
29,16,8
29,15,8
29,10,8
29,12,8
29,12,8
29,12,8
23,15,8
29,6,8
29,14,8
29,9,8
29,13,8
29,18,8
29,10,8
29,12,8
29,9,8
29,11,8
29,17,8
29,14,8
29,8,8
29,9,8
29,17,8
29,16,8
29,14,8
29,16,8
29,13,8
29,17,8
29,7,8
29,16,8
29,14,8
29,12,8
24,10,8
30,6,8
45,15,8
45,18,8
45,23,8
45,23,8
45,16,8
45,14,8
45,22,8
45,16,8
45,15,8
45,13,8
45,17,8
29,25,8
29,11,8
29,14,8
29,13,8
29,19,8
27,16,8
34,7,8
34,13,8
34,20,8
34,19,8
34,14,8
34,22,8
34,10,8
34,19,8
34,16,8
34,13,8
34,14,8
34,19,8
34,13,8
34,19,8
34,16,8
34,11,8
34,15,8
34,13,8
34,21,8
34,17,8
34,14,8
34,15,8
34,18,8
34,20,8
34,11,8
34,21,8
34,13,8
34,14,8
34,15,8
34,18,8
34,12,8
34,13,8
34,8,8
34,16,8
34,14,8
34,14,8
24,11,8
36,12,8
16,0,9
16,0,9
16,0,9
16,0,9
16,0,9
16,0,9
16,0,9
16,0,9
16,0,9
12,0,9
9,0,9
9,0,9
11,2,9
11,0,9
13,2,9
13,0,9
13,1,9
13,1,9
13,0,9
10,0,9
11,1,9
11,0,9
11,2,9
11,4,9
11,3,9
9,1,9
11,2,9
11,2,9
11,5,9
11,2,9
11,3,9
11,3,9
11,2,9
11,3,9
11,2,9
11,2,9
11,4,9
11,1,9
11,3,9
11,6,9
11,4,9
11,1,9
11,3,9
11,1,9
11,3,9
11,2,9
11,2,9
11,5,9
11,4,9
11,0,9
11,1,9
11,2,9
11,2,9
11,2,9
11,2,9
11,5,9
11,3,9
11,3,9
11,2,9
11,2,9
11,1,9
11,4,9
11,2,9
11,1,9
11,3,9
11,2,9
11,2,9
11,1,9
11,4,9
11,2,9
11,2,9
11,2,9
11,0,9
11,1,9
11,2,9
11,2,9
11,0,9
11,0,9
11,0,9
11,3,9
11,0,9
11,1,9
11,1,9
11,1,9
11,2,9
14,3,9
16,2,9
18,2,9
18,5,9
18,5,9
18,2,9
18,5,9
18,3,9
18,6,9
18,2,9
18,4,9
18,5,9
18,2,9
18,4,9
18,3,9
20,0,10
20,0,10
32,12,10
